YEAR,MONTH,sex,agegrp,total,disabilityType,percent
2009,6,Women,65+,21556334.0056,Any difficulty,0.336267589471239
2009,6,Men,25 to 54,62100238.0021,Any difficulty,0.0613249038654444
2009,6,Women,18 to 24,14252277.0961,Any difficulty,0.0371325930047218
2009,6,Women,25 to 54,63466274.9983,Any difficulty,0.0686405836724574
2009,6,Women,55 to 64,17931616.0029,Any difficulty,0.154553751421612
2009,6,Men,55 to 64,16658299.9916,Any difficulty,0.158361381103128
2009,6,Men,18 to 24,14384933.4396,Any difficulty,0.0365244170232747
2009,7,Men,65+,16404933.0011,Any difficulty,0.305464584930886
2009,7,Women,65+,21585031.9858,Any difficulty,0.334671211613322
2009,7,Men,25 to 54,62123006.0055,Any difficulty,0.0614015683330309
2009,7,Women,18 to 24,14409014.5542,Any difficulty,0.0338234040896254
2009,7,Women,25 to 54,63476044.9926,Any difficulty,0.0677511999148869
2009,7,Women,55 to 64,17984770.9921,Any difficulty,0.152976005950174
2009,7,Men,55 to 64,16710351.997,Any difficulty,0.153252416379964
2009,7,Men,18 to 24,14424075.524,Any difficulty,0.0401878250176583
2009,8,Men,65+,16445914.9953,Any difficulty,0.308682442658302
2009,8,Women,65+,21626004.0012,Any difficulty,0.334487056295681
2009,8,Men,55 to 64,16769303.9978,Any difficulty,0.153087474252765
2009,8,Men,25 to 54,62133489.9988,Any difficulty,0.0607457883208057
2009,8,Women,18 to 24,14355133.0354,Any difficulty,0.0313598643976242
2009,8,Women,25 to 54,63472551.9796,Any difficulty,0.0648728461654324
2009,8,Women,55 to 64,18045260.0012,Any difficulty,0.156269085200905
2009,8,Men,18 to 24,14401629.3743,Any difficulty,0.043787862790397
2009,9,Women,25 to 54,63474083.9748,Any difficulty,0.0650354317242119
2009,9,Men,25 to 54,62149045.0034,Any difficulty,0.0615509794284164
2009,9,Women,55 to 64,18107171.0117,Any difficulty,0.160019147884989
2009,9,Women,65+,21668783.0013,Any difficulty,0.330942477284939
2009,9,Men,18 to 24,14403442.0249,Any difficulty,0.0401541401423467
2009,9,Men,65+,16488223.0045,Any difficulty,0.304508264403612
2009,9,Men,55 to 64,16829594.0007,Any difficulty,0.155638003982215
2009,9,Women,18 to 24,14286615.2025,Any difficulty,0.030346476933468
2009,10,Men,65+,16529939.0097,Any difficulty,0.300952993049808
2009,10,Women,65+,21710762.9985,Any difficulty,0.331134694856035
2009,10,Women,25 to 54,63473390.9912,Any difficulty,0.0626203645154402
2009,10,Men,25 to 54,62162346.9793,Any difficulty,0.0628600422600067
2009,10,Women,55 to 64,18168447.0016,Any difficulty,0.156527550117495
2009,10,Men,18 to 24,14429678.3966,Any difficulty,0.0403424788065384
2009,10,Women,18 to 24,14286276.2337,Any difficulty,0.0330605436135877
2009,10,Men,55 to 64,16889287.0037,Any difficulty,0.156075632785595
